"Tarih","Şimdi","Açılış","Yüksek","Düşük","Fark %"
"19.01.2021","1,2128","1,2078","1,2146","1,2074","0,43%"
"18.01.2021","1,2076","1,2085","1,2091","1,2054","-0,02%"
"15.01.2021","1,2078","1,2155","1,2163","1,2074","-0,64%"
"14.01.2021","1,2156","1,2157","1,2179","1,2111","-0,01%"
"13.01.2021","1,2157","1,2208","1,2224","1,2140","-0,41%"
"12.01.2021","1,2207","1,2152","1,2211","1,2136","0,48%"
"11.01.2021","1,2149","1,2217","1,2227","1,2132","-0,56%"
"08.01.2021","1,2218","1,2273","1,2284","1,2191","-0,42%"
"07.01.2021","1,2270","1,2327","1,2346","1,2244","-0,45%"
"06.01.2021","1,2325","1,2296","1,2350","1,2265","0,25%"
"05.01.2021","1,2294","1,2247","1,2307","1,2246","0,38%"
"04.01.2021","1,2248","1,2231","1,2310","1,2223","0,29%"
"01.01.2021","1,2212","1,2216","1,2217","1,2210","-0,02%"
"31.12.2020","1,2214","1,2299","1,2309","1,2209","-0,66%"
"30.12.2020","1,2295","1,2248","1,2311","1,2246","0,39%"
"29.12.2020","1,2247","1,2217","1,2276","1,2207","0,27%"
"28.12.2020","1,2214","1,2202","1,2251","1,2181","0,08%"
"25.12.2020","1,2204","1,2186","1,2212","1,2165","0,15%"
"24.12.2020","1,2186","1,2188","1,2217","1,2177","0,01%"
"23.12.2020","1,2185","1,2163","1,2221","1,2154","0,20%"
"22.12.2020","1,2161","1,2244","1,2257","1,2151","-0,66%"
"21.12.2020","1,2242","1,2242","1,2254","1,2129","-0,11%"
"18.12.2020","1,2255","1,2268","1,2273","1,2225","-0,09%"
"17.12.2020","1,2266","1,2199","1,2274","1,2191","0,57%"
"16.12.2020","1,2197","1,2152","1,2213","1,2125","0,38%"
"15.12.2020","1,2151","1,2143","1,2170","1,2121","0,07%"
"14.12.2020","1,2143","1,2131","1,2177","1,2115","0,26%"
"11.12.2020","1,2111","1,2137","1,2163","1,2105","-0,21%"
"10.12.2020","1,2136","1,2083","1,2160","1,2075","0,46%"
"09.12.2020","1,2081","1,2103","1,2148","1,2059","-0,17%"
"08.12.2020","1,2101","1,2109","1,2134","1,2095","-0,06%"
"07.12.2020","1,2108","1,2128","1,2167","1,2078","-0,10%"
"04.12.2020","1,2120","1,2142","1,2178","1,2110","-0,16%"
"03.12.2020","1,2140","1,2115","1,2177","1,2100","0,21%"
"02.12.2020","1,2115","1,2070","1,2119","1,2040","0,37%"
"01.12.2020","1,2070","1,1928","1,2077","1,1926","1,19%"
"30.11.2020","1,1928","1,1957","1,2004","1,1924","-0,28%"
"27.11.2020","1,1962","1,1914","1,1965","1,1907","0,41%"
"26.11.2020","1,1913","1,1916","1,1941","1,1884","0,00%"
"25.11.2020","1,1913","1,1891","1,1931","1,1882","0,21%"
"24.11.2020","1,1888","1,1842","1,1897","1,1837","0,41%"
"23.11.2020","1,1840","1,1853","1,1906","1,1800","-0,11%"
"20.11.2020","1,1853","1,1875","1,1891","1,1849","-0,17%"
"19.11.2020","1,1873","1,1853","1,1883","1,1816","0,18%"
"18.11.2020","1,1852","1,1863","1,1892","1,1848","-0,08%"
"17.11.2020","1,1861","1,1852","1,1895","1,1842","0,07%"
"16.11.2020","1,1853","1,1829","1,1869","1,1813","0,18%"
"13.11.2020","1,1832","1,1805","1,1838","1,1798","0,24%"
"12.11.2020","1,1804","1,1777","1,1824","1,1758","0,23%"
"11.11.2020","1,1777","1,1810","1,1834","1,1745","-0,31%"
"10.11.2020","1,1814","1,1812","1,1844","1,1780","0,01%"
"09.11.2020","1,1813","1,1882","1,1920","1,1795","-0,50%"
"06.11.2020","1,1872","1,1826","1,1891","1,1795","0,43%"
"05.11.2020","1,1821","1,1725","1,1861","1,1710","0,84%"
"04.11.2020","1,1722","1,1715","1,1770","1,1603","0,09%"
"03.11.2020","1,1711","1,1640","1,1740","1,1633","0,61%"
"02.11.2020","1,1640","1,1658","1,1658","1,1622","-0,06%"
"30.10.2020","1,1647","1,1674","1,1705","1,1639","-0,23%"
"29.10.2020","1,1674","1,1746","1,1760","1,1650","-0,60%"
"28.10.2020","1,1744","1,1796","1,1798","1,1717","-0,43%"
"27.10.2020","1,1795","1,1810","1,1839","1,1793","-0,11%"
"26.10.2020","1,1808","1,1858","1,1861","1,1803","-0,43%"
"23.10.2020","1,1859","1,1819","1,1866","1,1787","0,36%"
"22.10.2020","1,1816","1,1862","1,1868","1,1811","-0,38%"
"21.10.2020","1,1861","1,1822","1,1882","1,1821","0,34%"
"20.10.2020","1,1821","1,1769","1,1841","1,1760","0,47%"
"19.10.2020","1,1766","1,1722","1,1795","1,1703","0,41%"
"16.10.2020","1,1718","1,1708","1,1746","1,1694","0,10%"
"15.10.2020","1,1706","1,1747","1,1760","1,1688","-0,34%"
"14.10.2020","1,1746","1,1746","1,1772","1,1719","0,02%"
"13.10.2020","1,1744","1,1813","1,1817","1,1731","-0,58%"
"12.10.2020","1,1813","1,1819","1,1827","1,1786","-0,09%"
"09.10.2020","1,1824","1,1759","1,1832","1,1753","0,56%"
"08.10.2020","1,1758","1,1762","1,1782","1,1732","-0,02%"
"07.10.2020","1,1760","1,1735","1,1783","1,1724","0,22%"
"06.10.2020","1,1734","1,1782","1,1809","1,1731","-0,40%"
"05.10.2020","1,1781","1,1716","1,1798","1,1707","0,58%"
"02.10.2020","1,1713","1,1748","1,1751","1,1695","-0,29%"
"01.10.2020","1,1747","1,1719","1,1770","1,1717","0,25%"
"30.09.2020","1,1718","1,1743","1,1756","1,1684","-0,20%"
"29.09.2020","1,1742","1,1666","1,1746","1,1660","0,67%"
"28.09.2020","1,1664","1,1638","1,1679","1,1615","0,29%"
"25.09.2020","1,1630","1,1671","1,1686","1,1612","-0,36%"
"24.09.2020","1,1672","1,1660","1,1688","1,1626","0,11%"
"23.09.2020","1,1659","1,1708","1,1719","1,1651","-0,40%"
"22.09.2020","1,1706","1,1770","1,1774","1,1691","-0,54%"
"21.09.2020","1,1769","1,1848","1,1873","1,1731","-0,57%"
"18.09.2020","1,1837","1,1848","1,1871","1,1826","-0,08%"
"17.09.2020","1,1847","1,1816","1,1854","1,1737","0,28%"
"16.09.2020","1,1814","1,1850","1,1883","1,1787","-0,26%"
"15.09.2020","1,1845","1,1865","1,1901","1,1839","-0,19%"
"14.09.2020","1,1868","1,1840","1,1889","1,1830","0,19%"
"11.09.2020","1,1845","1,1814","1,1875","1,1812","0,27%"
"10.09.2020","1,1813","1,1801","1,1918","1,1800","0,09%"
